Heliostat field,,,"IFS(SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>1200,1600,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>800,1200,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>400,800,SQRT(POWER(A3,2)+POWER(B3,2)+POWER(180,2))>0,400)",,8*COS(M3),8*sin(M3),"IFS(AND(D3=400,O3>0.5),NORM.INV(RAND(),187,0.3),AND(D3=400,O3<=0.5),NORM.INV(RAND(),173,0.3),AND(D3=800,O3>0.5),NORM.INV(RAND(),184,0.8),AND(D3=800,O3<=0.5),NORM.INV(RAND(),176,0.8),AND(D3=1200,O3>0.5),NORM.INV(RAND(),182,0.9),AND(D3=1200,O3<=0.5),NORM.INV(RAND(),178,0.9),D3=1600,NORM.INV(RAND(),180,1.2))",,,,"NORM.INV(RAND(),0,0.28)","ATAN2(A3,B3)","IFS(AND(D3=400,O3>0.5),NORM.INV(RAND(),187,0.1),AND(D3=400,O3<=0.5),NORM.INV(RAND(),172,0.1),AND(D3=800,O3>0.5),NORM.INV(RAND(),185,0.1),AND(D3=800,O3<=0.5),NORM.INV(RAND(),175,0.1),AND(D3=1200,O3>0.5),NORM.INV(RAND(),183,0.1),AND(D3=1200,O3<=0.5),NORM.INV(RAND(),177,0.1),D3=1600,NORM.INV(RAND(),180,0.1))",RAND()
Heliostat x,Heliostat y,Heliostat z,Focal Length x,Focal Length y,Aiming point x,Aiming point y,Aiming point z,Heliostat width (x),Heliostat length (y),Heliostat z-normal rotation,,theta,,
-192.566544,31.019496,0,400,400,-7.898184288,1.272275499,173.0444379,11.415,10.421,0,-0.3706949,2.981880088,172.1586501,0.051205189
-182.191152,69.6,0,400,400,-7.473253451,2.854905052,173.2614715,11.415,10.421,0,0.284665632,2.776684891,172.0851842,0.034124659
-164.153088,105.348024,0,400,400,-6.732764626,4.320865711,187.2456024,11.415,10.421,0,0.346735828,2.571026968,186.9561065,0.88488633
-139.211304,136.617456,0,400,400,-5.709797911,5.603410373,172.7240386,11.415,10.421,0,-0.293318938,2.365598047,172.077177,0.181403952
-108.414312,162.144456,0,400,400,-4.446627353,6.650376319,173.3468108,11.415,10.421,0,-0.053610269,2.160155499,171.9119789,0.122413188
-89.861136,173.117256,0,400,400,-3.685660551,7.100415925,186.9271105,11.415,10.421,0,0.374651108,2.049588574,186.877316,0.822893784
-51.703224,188.070744,0,400,400,-2.120632956,7.713813316,186.8877621,11.415,10.421,0,0.062014722,1.839082303,186.9960273,0.74930543
-11.265408,194.724528,0,400,400,-0.462051814,7.986645611,172.7965155,11.415,10.421,0,0.050972491,1.628584963,171.8742636,0.245882922
8.631936,206.063088,0,400,400,0.334824546,7.992990212,173.4691503,11.415,10.421,0,-0.146207275,1.52893103,172.1321696,0.214987029
51.630072,199.67448,0,400,400,2.00270337,7.745268182,173.7056243,11.415,10.421,0,0.455359734,1.317767052,171.9474956,0.424051137
92.333064,184.41924,0,400,400,3.581538901,7.153501178,186.8244845,11.415,10.421,0,-0.317181604,1.106613368,187.01769,0.533449049
128.933448,160.970976,0,400,400,5.001265016,6.243984965,173.4019096,11.415,10.421,0,0.054125454,0.895462213,172.1231158,0.192263472
159.809688,130.372104,0,400,400,6.198900355,5.057038105,173.1240614,11.415,10.421,0,0.135722937,0.684298709,171.9311478,0.446902714
183.584088,93.982032,0,400,400,7.121115479,3.645506046,172.7817834,11.415,10.421,0,-0.037883153,0.473145261,171.9563356,0.085239635
199.205088,53.4162,0,400,400,7.727024816,2.071976711,187.3530339,11.415,10.421,0,-0.14295063,0.261983717,187.1662918,0.831509892
205.977744,10.479024,0,400,400,7.989667176,0.406470682,186.8841572,11.415,10.421,0,0.074796996,0.050830722,187.0685745,0.52430283
205.977744,-10.479024,0,400,400,7.989667176,-0.406470682,186.5478668,11.415,10.421,0,-0.085863669,-0.050830722,186.9033312,0.796453376
214.03056,-132.804408,0,400,400,6.797721043,-4.217936536,186.5518729,11.415,10.421,0,-0.111900352,-0.55535157,187.0845431,0.96585448
199.27824,-154.058112,0,400,400,6.32919833,-4.892979511,172.7036616,11.415,10.421,0,-0.105964009,-0.658109705,171.9953937,0.164406087
182,-173.684184,0,400,400,5.78752867,-5.523088981,188.0697805,11.415,10.421,0,0.088307175,-0.762022647,186.9635593,0.575462864
163.650168,-191.481456,0,400,400,5.197596012,-6.081529059,186.9842382,11.415,10.421,0,-0.011885515,-0.86360725,187.0339633,0.578599506
143.146272,-207.254856,0,400,400,4.546423153,-6.58255547,172.5162833,11.415,10.421,0,0.35271606,-0.966354494,171.9743894,0.2752342
121.133616,-220.845888,0,400,400,3.847261072,-7.014170104,187.0998159,11.415,10.421,0,0.003180961,-1.069106707,187.0727285,0.568593802
97.843848,-232.1052,0,400,400,3.107567409,-7.371772162,173.2386892,11.415,10.421,0,-0.212087049,-1.171851848,171.962257,0.461073519
74.962512,-240.322608,0,400,400,2.382195576,-7.637090037,187.2985297,11.415,10.421,0,-0.332577102,-1.268435833,187.036042,0.696964613
48.423576,-247.186704,0,400,400,1.537957547,-7.850776177,173.2210306,11.415,10.421,0,0.021671901,-1.377347331,172.1506998,0.418057752
-48.359568,-247.198896,0,400,400,-1.535926646,-7.851173756,173.3078497,11.415,10.421,0,0.253078275,-1.763986641,172.1515167,0.014844514
-73.849992,-240.667032,0,400,400,-2.346839378,-7.648028827,173.5076615,11.415,10.421,0,0.000233966,-1.868530604,172.0295242,0.185795891
-97.667064,-232.1814,0,400,400,-3.101932731,-7.374144922,173.0257527,11.415,10.421,0,-0.236809934,-1.96897657,172.0749641,0.221824122
-120.908064,-220.967808,0,400,400,-3.840119437,-7.018082552,186.9110934,11.415,10.421,0,-0.074802118,-2.071468058,187.0366959,0.655697408
-142.881096,-207.437736,0,400,400,-4.53800129,-6.588364311,173.1467481,11.415,10.421,0,-0.189427017,-2.173959303,171.9867684,0.448238436
-163.35756,-191.731392,0,400,400,-5.188298836,-6.089462636,173.2325801,11.415,10.421,0,0.09449817,-2.276457644,171.9115716,0.222373278
-182.114952,-174.01032,0,400,400,-5.784094226,-5.526685624,172.4074728,11.415,10.421,0,-0.222357946,-2.378948375,172.0680208,0.409958361
-198.964296,-154.463496,0,400,400,-6.319225093,-4.905853058,186.5691113,11.415,10.421,0,-0.1594663,-2.481447353,186.8859923,0.800443038
-213.72576,-133.298184,0,400,400,-6.787986144,-4.233585254,186.9540462,11.415,10.421,0,-0.433003578,-2.583937382,186.9373645,0.761433234
-226.240848,-110.730792,0,400,400,-7.185518265,-3.51686327,173.1622144,11.415,10.421,0,0.559017354,-2.686430562,171.9798625,0.022249111
-236.381544,-87.002112,0,400,400,-7.507628795,-2.763242638,172.5971881,11.415,10.421,0,0.059758787,-2.78892199,172.0156481,0.193235383
-244.044216,-62.359032,0,400,400,-7.750961889,-1.980552903,173.0226719,11.415,10.421,0,-0.671108247,-2.891422197,172.0829771,0.482252963
-249.14352,-37.06368,0,400,400,-7.912919382,-1.177160505,172.7066122,11.415,10.421,0,-0.289042016,-2.99391136,171.92417,0.430096482
-251.62764,-11.378184,0,400,400,-7.991833728,-0.361377449,186.9603006,11.415,10.421,0,0.030347095,-3.096405096,187.0182906,0.995316778
-251.62764,11.378184,0,400,400,-7.991833728,0.361377449,187.0828824,11.415,10.421,0,0.082653913,3.096405096,186.9690411,0.600591921
-249.238008,36.432744,0,400,400,-7.915875481,1.157115109,172.4440287,11.415,10.421,0,-0.208921755,2.996444134,172.0068744,0.189569499
-244.35816,61.121544,0,400,400,-7.760900776,1.941241652,173.2425729,11.415,10.421,0,0.109051165,2.896490727,172.0261017,0.48369771
-237.036864,85.203792,0,400,400,-7.528408998,2.70611492,186.9823606,11.415,10.421,0,0.109591431,2.796520727,187.0143279,0.844193782
-227.35032,108.4326,0,400,400,-7.220780262,3.443883333,186.4037367,11.415,10.421,0,0.2663234,2.696562146,187.2391008,0.69472561
-215.396064,130.579368,0,400,400,-6.841071591,4.147256863,187.460763,11.415,10.421,0,-0.007137137,2.596605497,187.0034617,0.978017066
-201.28992,151.421592,0,400,400,-6.393069775,4.809226429,172.3305809,11.415,10.421,0,0.018011138,2.496649135,172.1447996,0.056870338
-185.172096,170.755056,0,400,400,-5.881165834,5.423272853,173.1740525,11.415,10.421,0,0.003131215,2.396677951,171.9152456,0.171516519
-167.207184,188.38164,0,400,400,-5.310595108,5.983107854,172.9502711,11.415,10.421,0,-0.025598702,2.296717139,172.1083446,0.205700794
-84.859368,237.161832,0,400,400,-2.695161276,7.532337333,187.1339561,11.415,10.421,0,0.194311259,1.914413659,186.9575427,0.875852063
-60.591192,244.339872,0,400,400,-1.925512933,7.764818088,172.8450136,11.415,10.421,0,0.282236153,1.813872104,171.9958815,0.042207166
-36.764976,249.18924,0,400,400,-1.167666795,7.914325888,173.3578357,11.415,10.421,0,-0.5572172,1.717277954,172.1407086,0.020706852
275.368512,80.3148,0,400,400,7.680007617,2.239973885,173.2112742,11.415,10.421,0,-0.122790884,0.283790709,172.0455663,0.109170746
